S#,name,category,,quantity,size,tag_no,current_location,calibration_frequency,last_caliberated,caliberation_due_date,caliberation_type,caliberated_by,Servicing Frequency,Last Serviced,Servicing due date,Servicing Type,Serviced By,Status,Responsible Person ,remarks,,,
1,Lincoln Electric  Sae - 500 (Heavy Duty Welding Machine),Welding,E,1 unit,- ,AR/RAC/DWM/002,,6 months,,,,,,,,,,,,Due for Servicing,,,
2,Lincoln Electric  Sae - 500 (Heavy Duty Welding Machine),Welding,E,1 unit,- ,AR/RAC/DWM/004,,6 months,,,,,,,,,,,,Due for Servicing,,,
3,Lincoln Electric  Sae - 500 (Heavy Duty Welding Machine),Welding,E,1 unit,- ,AR/RAC/DWM/005,,6 months,,,,,,,,,,,,Due for Servicing,,,
4,Lincoln Electric  Sae - 500 (Heavy Duty Welding Machine),Welding,E,1 unit,- ,AR/RAC/DWM/007,,6 months,,,,,,,,,,,,Due for Servicing,,,
5,Air Compressor -Model: De 375sdjdaf. Psi Wr (69260) - Sullivan Palatak,Painting,E,1 unit,- ,,,Nil,,,,,,,,,,,,,,,
6,Electrode Stabilizing Oven - Lro-450-220 (550f/280c) Lenco,Welding,E,2 unit,- ,,,Nil,,,,,,,,,,,,,,,
7,Electric Portable Welding Machine 650 - Miller Electric,Welding,E,1 unit,- ,ARL/WM/005,,6 months,,,,,,,,,,,,Due for Calibration,,,
8,Electric Portable Welding Machine 650 - Miller Electric,Welding,E,1 unit,- ,ARL/WM/006,,6 months,,,,,,,,,,,,Due for Calibration,,,
9,Electric Portable Welding Machine 650 - Miller Electric,Welding,E,1 unit, ,ARL/WM/004,,6 months,,,,,,,,,,,,Due for Calibration,,,
10,Electric Portable Welding Machine 650 - Miller Electric,Welding,E,1 unit, ,ARL/WM/00X,,6 months,,,,,,,,,,,,Due for Calibration,,,
11,"Angle Grinding Machine 4 - 1/2 "" (115mm) - Milwaukee",Fitting,E,6 unit,4 - 1/2 Inches,,,,,,,,,,,,,,,,,,
12,"Angle Grinding Machine 9"" Grinder (Gws 230) - Bosch",Fitting,E,19 unit,9 Inches,,,,,,,,,,,,,,,,,,
13,Angle Grinding Machine 4-1/2 Grinder (Gws 750) - Bosch,Fitting,E,1 unit,4 - 1/2 Inches,,,,,,,,,,,,,,,,,,
14,4 1/2 Grinding Machine (Bosch) PowerFlex,Fitting,E,1 Pc,4 - 1/2 Inches,,,,,,,,,,,,,,,,,,
15,Die Grinder Model: Dg - 6 (25mm) PowerFlex,Fitting,E,10 unit,25 mm,,,,,,,,,,,,,,,,,,
16,Compressed Air Tank,Painting,E, unit, ,,,,,,,,,,,,,,,,,,
17,275 Kva Generating Set - CAT,Electrical,E,1 unit, ,,,,,,,,,,,,,,,,,,
18,Electric Welding Machine - Miller Dimension 650,Welding,E,1 unit, ,ARL/WM/012,,6 months,,,,,,,,,,,,Due for Calibration,,,
19,Electric Welding Machine - Miller Dimension 650,Welding,E,1 unit, ,ARL/WM/011,,6 months,,,,,,,,,,,,Due for Calibration,,,
20,Electric Welding Machine - Miiler Gold Star 602,Welding,E,1 unit, ,ARL/WM/015,,6 months,,,,,,,,,,,,Due for Calibration,,,
21,Electric Welding Machine - Miiler Gold Star 602,Welding,E,1 unit, ,ARLI/WM/016,,6 months,,,,,,,,,,,,Due for Calibration,,,
22,Pressure Washer - Model: L100N6C (300psi/20.7bar),Mechanical,E,1 unit, ,,,,,,,,,,,,,,,,,,
23,Welding Machine (Miller),Welding,E,2 Unit, ,,,,,,,,,,,,,,,,,,
24,Welding Machine (Miller),Welding,E,6 Unit, ,,,,,,,,,,,,,,,,,,
25,Oven Electrode,Welding,E,1 Catoons, ,,,,,,,,,,,,,,,,,,
26,Laser Jet 307A,Stationery,E,6 Pac, ,,,,,,,,,,,,,,,,,,
27,Laser Jet 651A,Stationery,E,5 Pcs, ,,,,,,,,,,,,,,,,,,
28,Scanner,Stationery,E,1 Pc, ,,,,,,,,,,,,,,,,,,
29,Beveling Machine ,Fitting,E,1 ,6 - 12 Inches,,,,,,,,,,,,,,,,,,
30,Beveling Machine ,Fitting,E,1 ,2 - 3 Inches,,,,,,,,,,,,,,,,,,
31,Pneumatic Drilling Machine,Fitting,E,2 ,14 x 100 mm x mm,,,,,,,,,,,,,,,,,,
32,Hydraulic Flange Spreader,Fitting,E,1 ,10 Tons,,,,,,,,,,,,,,,,,,
33,Dewalt Circullar Band Saw,Fitting,E,3 ,5 Inches,,,,,,,,,,,,,,,,,,
34,Public Address System,Safety,E,2 , ,,,,,,,,,,,,,,,,,,
35,Circuit Breaker,Electrical,E,1 , ,,,,,,,,,,,,,,,,,,
36,Vacuum Tank,Painting,E,1 , EA,,,,,,,,,,,,,,,,,,
37,Fire Extinguishers,Safety,E,3 , EA,,,,,,,,,,,,,,,,,,
38,266 Clamp Meter,Electrical,E,1 , NA,,,,,,,,,,,,,,,,,,
39,Multitest Meter,Electrical,E,1 , NA,,,,,,,,,,,,,,,,,,
40,Heavy Duty Paint Mixing Machine,Painting,E,1 , ,,,,,,,,,,,,,,,,,,
41,"Bosch GBM 23-2, Heavy Duty Drilling Machine",Fitting,E,1 ,220 Volt,,,,,,,,,,,,,,,,,,
42,Grinding Machine,Fitting,E,1 ,4 Inches,,,,,,,,,,,,,,,,,,
43,Small Size Compressed Air Tank (200PSI st 450F),,E,2 , ,,,,,,,,,,,,,,,,,,
44,Air Receiver (CPF),,E,1 , ,,,,,,,,,,,,,,,,,,
45,Pneumatic Paint Mixer (Used),,E,1 , ,,,,,,,,,,,,,,,,,,
46,Karcher (Pressure washing Machine),,E,1 , ,,,,,,,,,,,,,,,,,,
47,Grinder,,E,5 ,4 1/2 Inches,,,,,,,,,,,,,,,,,,
48,Grinder,,E,4 ,9 Inches,,,,,,,,,,,,,,,,,,
49,Fire Extinguishers,,E,12 , ,,,,,,,,,,,,,,,,,,
50,Eye Wash,,E,1 , ,,,,,,,,,,,,,,,,,,
51,Industrial Electric Panels,,E,2 , EA,,,,,,,,,,,,,,,,,,
52,Rigid Threader Set,,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
53,Dewalt Band Saw,,E,1 pcs, ,,,,,,,,,,,,,,,,,,
54,Hand held paint Spray (Graco),,E,2 Set, ,,,,,,,,,,,,,,,,,,
55,Bosch Drilling Machine,,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
56,Urrea Drive Socket Set with Accessories,,E,44 Pcs, ,,,,,,,,,,,,,,,,,,
57,Electrode Oven - 240V/480V,,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
58,Grinding Machine (Bosch),,E,1 Pcs,9 Inches,,,,,,,,,,,,,,,,,,
59,Electrical Dewatt Drilling Machine with accessories,,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
60,Welding Machines,Welding,E,4 Each, ,"ARI/RAC/DWM/001, ARI/RAC/DWM/003, ARI/RAC/DWM/006 & ARI/RAC/DWM/008",,,,,,,,,,,,,,Due for Servicing,,,
61,Acetylene Gas rack,Welding,E,6 bottles, ,AL/GR/006,,,,,,,,,,,,,,,,,
62,Oxygen gas rack,Welding,E,6 bottles, ,ARI/RAC/OXY/001,,,,,,,,,,,,,,,,,
63,Propane gas rack,Welding,E,4 bottles, ,AL/GR/013,,,,,,,,,,,,,,,,,
64,Firewater pump,Safety,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
65,Air receiver,Painting,E,1 Pcs, ,ARI/RAC/AVT/001,,,,,,,,,,,,,,,,,
66,Electrode Stabilizing Oven ,Welding,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
67,Fire Water Pump Head (GUN ),Welding,E,3 Packs, ,,,,,,,,,,,,,,,,,,
68,Fire Water Hose (WHITE),Welding,E,4 Packs,4 Inches,,,,,,,,,,,,,,,,,,
69,A3 Scanner,Stationeries,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
70,Laptop,Stationeries,E,1 Pcs, ,,,,,,,,,,,,,,,,,,
71,Airless-Machine (Xtreme X70),Painting,E,2 PCS, Inches,,,,,,,,,,,,,,,,,,
72,10 Litre Conventional Spraying Pot ,Painting,E,1 PCS, ,,,,,,,,,,,,,,,,,,
73,Graco.Paint Mixer(H1/2Gt6),Painting,E,1 PC, ,,,,,,,,,,,,,,,,,,
